oid_mitkan,ms_miklat,k_sug,t_sug,k_rechov,shem_recho,ms_bait,knisa,Full_Address,shem_rechov_eng,shetach_mr,k_sinon,t_sinon,hearot,h_sug,x_coord,y_coord,lon,lat,shem_baalim,shem,pail,from_time,to_time,opening_times,url_tik,telephone_henion,maneger_name,email,celolar,is_open,UniqueId,date_import,miklat_mungash
10703,812,1.0,מקלט ציבורי,4001.0,"אצ""ל",34, ,"אצ""ל 34 ",ETSEL               ,180.0,0.0,ללא מערכת סינון,"מדובר במקלט עם 4 כניסות החולש על 2 צידי הרחוב, 2 כניסות ויציאות בכל צד. הכניסות נמצאות ב- מול 34, מול 30, מול 39, מול 35. כל ארבע הכניסות מתוכננות להיות במפלס המדרכה ולהיפתח אוטומטית כלפי מעלה.",לא,180455.46792537,662141.66595251,34.79077728,32.05147158,,,כשיר לשימוש,,,ייפתח בשעת אזעקה,,,,,,כן,592-217,13/03/2026 10:13:17,
10704,9042,4.0,חניון מחסה לציבור,2229.0,2184,8, ,2184 8 ,2229,19200.0,0.0,ללא מערכת סינון,"ישנו חניון נוסף שמנוהל ע""י  חניון עתידים ברחוב קרית עתידים מס' 8 -24 שעות דרך השומר בכניסה לבנין רק בחירום! נאור עודכן והוא יעדכן גם את חגי", ,185334.4868522,669116.53885486,34.84219018,32.11452799,"עתידים חברה לתעשיות עתירות מדע בע""מ",עתידים,כשיר לשימוש,7:00,22:00,"א'-ה'  07:00 עד 22:00
",\\nas01\gis_users\herum\gdb\תיקי חניון ממוחשבים\עתידים,03-7690824,נאור ישייב גת/חגי ג'פרי,mailto:parking@atidim.co.il,053-6720802/050-6777796,כן,592-97,13/03/2026 10:13:17,
10705,1036,1.0,מקלט ציבורי,3000.0,התקומה,46, ,התקומה 46 ,,100.0,1.0,מערכת סינון,המקלט נמצא מול בית מספר 46 ברחבה שמול מרכז תרבות מנדל. ניתן להגיע גם מרחוב התחיה 1 ומאזור איצטדיון בלומפילד.,לא,177444.58965077,662071.32785265,34.7589002,32.05072923,,מרכז מנדל,כשיר לשימוש,,,פתיחה אוטומטית בשעת חירום,,,,,,כן,592-24,13/03/2026 10:13:17,
10706,519,2.0,מקלט ציבורי במוסדות חינוך,778.0,בצרון,19, ,בצרון 19 ,BITSARON            ,120.0,0.0,ללא מערכת סינון,"המקלט נמצא בשטח ביה""ס ""דוד בלוך"". כניסה מהשער הראשי ואז שמאלה לכיוון המקלט. (שדרות ההשכלה 16)",כן,181049.4117686,663831.65735182,34.79699861,32.06673201,,בית ספר דוד בלוך,כשיר לשימוש,,,פתיחה אוטומטית בשעת חירום,,,,,,כן,592-66,13/03/2026 10:13:17,
10707,624,2.0,מקלט ציבורי במוסדות חינוך,438.0,סעדיה גאון,6, ,סעדיה גאון 6 ,SAADIYA GAON        ,120.0,0.0,ללא מערכת סינון,"המקלט נמצא בתוך ביה""ס לאומנויות,בניין ה""חממה"". כניסה מהשער הראשי, ישר ושמאלה בין המבנים. ניתן להגיע גם מרחוב מזא""ה 77.",כן,179589.26669561,663670.02012234,34.78154223,32.06522373,,"בניין החממה- ביה""ס לאומנויות",כשיר לשימוש,,,פתיחה אוטומטית בשעת חירום,,,,,,כן,592-259,13/03/2026 10:13:17,
10708,1022,2.0,מקלט ציבורי במוסדות חינוך,3488.0,גולדמן נחום,7, ,גולדמן נחום 7 ,GOLDMAN             ,60.0,0.0,ללא מערכת סינון,"המקלט נמצא בשטח ביה""ס ""תיכון עירוני כ""ב - מרכז חינוך טכנולוגי"". הכניסה מהשער הראשי ואז ימינה למבנה המקלט.",כן,177260.23638904,662698.16074257,34.75692071,32.056375,,בית בספר תיכון עירוני כב,כשיר לשימוש,,,פתיחה אוטומטית בשעת חירום,,,,,,כן,592-104,13/03/2026 10:13:17,
10709,821,1.0,מקלט ציבורי,3843.0,שתולים,2, ,שתולים 2 ,,100.0,0.0,ללא מערכת סינון,"ברחוב שתולים 2 פינת הלח""י 48 קיים שער הנפתח בחירום ודרכו ישנה גישה למקלט.",לא,180708.43628452,661650.5762553,34.79347559,32.04705173,,,כשיר לשימוש,,,פתיחה אוטומטית בשעת חירום,,,,,,כן,592-214,13/03/2026 10:13:17,
10710,90,4.0,חניון מחסה לציבור,96.0,פרישמן,28, ,פרישמן 28 ,FRISHMAN            ,4860.0,0.0,ללא מערכת סינון,פתוח 24 שעותהכניסה דרך רחוב פרישמן  יש לבדוק שילוט, ,178605.62029911,665228.544335,34.7710592,32.07924297,אחוזות החוף,תל נורדאו,כשיר לשימוש,24/7 (דרך הכניסה ברחוב פרישמן),24/7 (דרך הכניסה ברחוב פרישמן),פתוח 24 שעות הכניסה דרך רחוב פרישמן ,\\nas01\gis_users\herum\gdb\תיקי חניון ממוחשבים\תל נורדאו,03-7610300,קובי אלקיים,,053-5900399,כן,592-171,13/03/2026 10:13:17,
10711,107,1.0,מקלט ציבורי,899.0,עשהאל,5, ,עשהאל 5 ,YEHONATAN,100.0,1.0,"מקלט מוגן אב""כ",המקלט נמצא מול בית מספר 2 פינת רחוב יהונתן 40. ניתן להגיע גם דרך החניון הסמוך למקלט - פתיחה אוטומטית בשעת חירום.,לא,184897.26823147,670111.16326694,34.83752166,32.12348397,,,כשיר לשימוש,,,פתיחה אוטומטית בשעת חירום,,,,,,כן,592-333,13/03/2026 10:13:17,
10712,115,1.0,מקלט ציבורי,978.0,עיר שמש,36, ,עיר שמש 36 ,IR SHEMESH          ,120.0,1.0,"מקלט מוגן אב""כ",יש להיכנס לגינה מול בניינים 34 ו-32 ליד מגרש המשחקים - פתיחה אוטומטית בשעת חירום.,לא,183833.2717209,670160.44533691,34.82624497,32.1238952,,,כשיר לשימוש,,,פתיחה אוטומטית בשעת חירום,,,,,,כן,592-257,13/03/2026 10:13:17,
10713,124,1.0,מקלט ציבורי,924.0,משמר הירדן,67, ,משמר הירדן 67 ,MISHMAR HAYARDEN,100.0,1.0,"מקלט מוגן אב""כ",המקלט נמצא בתוך מתחם שבט הצופים וקיימות לו 2 כניסות מרכזיות: דרך רחוב משמר הירדן מול בניין 67 קיים שער ברזל הנפתח ידנית בשעת חירום + כניסה דרך רחוב לויטה 7  - שער ברזל הנפתח ידנית בשעת חירום.,לא,184376.26249179,668844.08846806,34.83204712,32.11204163,,,כשיר לשימוש,,,פתיחה אוטומטית בשעת חירום,,,,,,כן,592-318,13/03/2026 10:13:17,
10714,50,4.0,חניון מחסה לציבור,644.0,יגאל אלון,126, ,יגאל אלון 126 ,YIG'AL ALLON        ,10365.0,0.0,ללא מערכת סינון,"קיבלו שילוט. בתיאום שיחה עם אליהו חניון נסגר ב 23:00 ונפתח ב- 7:00 בבוקר, אין כניסה מהשומר.", ,180891.90154498,664653.20151818,34.79529756,32.07413517,"גוש 7093 חלקה 162 בע""מ",יגאל אלון 126 ,כשיר לשימוש,,,מ-7:00 עד 23:00 אין כניסה משומר,\\nas01\gis_users\herum\gdb\תיקי חניון ממוחשבים\יגאל אלון 126,03-6957650,דורון דרורי,mailto:ilanm24@gmail.com,052-6997605,כן,592-144,13/03/2026 10:13:17,
10715,434,3.0,מקלט בשטח חניון,195.0,בזל,42, ,בזל 42 ,BASEL               ,350.0,0.0,ללא מערכת סינון,"המקלט נמצא בתוך שטח ""חניון בזל"". כניסה ראשית לחניון מול בניין מספר 42 דרך כניסת הרכבים. כניסה נוספת במפלס עליון, לא דרך החניון, דרך פיר המדרגות.",לא,179392.74641661,666367.20895158,34.77934853,32.08953944,,מקלט בשטח חניון בזל,כשיר לשימוש,,,פתיחה אוטומטית בשעת חירום,,,,,,כן,592-109,13/03/2026 10:13:17,
10716,317,2.0,מקלט ציבורי במוסדות חינוך,554.0,ועידת קטוביץ,47, ,ועידת קטוביץ 47 ,VE'IDAT KATOWITZ    ,100.0,0.0,ללא מערכת סינון,"המקלט נמצא בשטח ביה""ס ""תיכון עירוני ד"". כניסה מהשער הראשי לתוך מבנה ביה""ס, שמאלה, חוצים את מגרש הכדורסל והמקלט ממול. גישה נוספת משער פישפש הנפתח בחירום מול בית מספר 44 היישר לשטח המקלט.",כן,180524.09802281,666953.94978459,34.79130882,32.09487019,,"בית ספר עירוני ד' חט""ב",כשיר לשימוש,,,פתיחה אוטומטית בשעת חירום,,,,,,כן,592-131,13/03/2026 10:13:17,
10717,508,2.0,מקלט ציבורי במוסדות חינוך,347.0,שפירא צבי הרמן,21, ,שפירא צבי הרמן 21 ,SHAPIRA HERMAN      ,100.0,0.0,ללא מערכת סינון,"המקלט נמצא בשטח ביה""ס ""גבריאלי"" כניסה מהשער הראשי ואז ימינה. המקלט בצמוד למגרש הכדורגל פ.",כן,179218.81916968,664739.72364102,34.7775744,32.07485694,,בית ספר גבריאלי,כשיר לשימוש,,,פתיחה אוטומטית בשעת חירום,,,,,,כן,592-40,13/03/2026 10:13:17,
10718,322,1.0,מקלט ציבורי,25.0,בן יהודה,161, ,בן יהודה 161 ,BEN-YEHUDA          ,120.0,1.0,"מקלט מוגן אב""כ","2 דרכי גישה למקלט: 1- מרחוב בן יהודה, בין בניינים 159 ו-161 קיים שביל ( סמטת בן יהודה) לתוך גן טאו (גן החובבים), המקלט במרכז הגן. 2- מרחוב זלטופולסקי, בין בניינים 16 ו-14 קיים שביל (סמטת החובבים) לגן ולמקלט.",לא,178743.5274949,666272.30081684,34.77247557,32.08866031,,,כשיר לשימוש,,,פתיחה אוטומטית בשעת חירום,,,,,,כן,592-264,13/03/2026 10:13:17,
10719,201,1.0,מקלט ציבורי,987.0,גרונימן,10, ,גרונימן 10 ,GRONEMAN            ,100.0,1.0,"מקלט מוגן אב""כ",המקלט נמצא בין בניינים 6 ו-10 בתוך הגינה הציבורית. כניסה משמאל לבית הקפה דרך השביל בשדרות קרן היסוד ישר עד למקלט מול גן המשחקים. גישה 2 מרחוב חיים לבנון 17 לשביל שדרות קרן היסוד.,לא,181048.12876678,668039.76432614,34.79681658,32.10467981,,,כשיר לשימוש,,,פתיחה אוטומטית בשעת חירום,,,,,,כן,592-155,13/03/2026 10:13:17,
10720,206,1.0,מקלט ציבורי,941.0,גרונימן,26, ,גרונימן 26 ,GRUNIMAN,100.0,1.0,"מקלט מוגן אב""כ","גישה למקלט דרך השביל בין בניינים 26 ו-28. גישה נוספת דרך רחוב חיים לבנון 23,קיים שביל המוביל למקלט.",לא,181202.07898535,668109.59842529,34.79844481,32.10531479,,,כשיר לשימוש,,,פתיחה אוטומטית בשעת חירום,,,,,,כן,592-126,13/03/2026 10:13:17,
10721,843,1.0,מקלט ציבורי,637.0,שדרות יד לבנים,26, ,שדרות יד לבנים 26 ,YAD LABANIM         ,100.0,1.0,מערכת סינון,המקלט נמצא בשדרה מול בית מספר 26 ובסמוך לסניף קופת חולים כללית בשדרות יד לבנים 35. למקלט דלת נגררת הנפתחת בחירום ונדרש רק לדחוף אותה קדימה.,לא,181127.08487888,663138.30736746,34.79784884,32.06048214,,,כשיר לשימוש,,,פתיחה אוטומטית בשעת חירום,,,,,,כן,592-88,13/03/2026 10:13:17,
10722,912,1.0,מקלט ציבורי,3623.0,סמטת אסירי ציון,11, ,סמטת אסירי ציון 11 ,,100.0,1.0,מערכת סינון,"המקלט נמצא בין בתים 9 ו-11, בקצה החנייה ברחוב ניל""י 8 בסמוך לחורשה.",לא,178950.74778909,661642.11424328,34.77486584,32.04691371,,,כשיר לשימוש,,,נפתח אוטומטית בשעת חירום,,,,,,כן,592-21,13/03/2026 10:13:17,
10723,917,1.0,מקלט ציבורי,3664.0,דיק,10, ,דיק 10 ,DIK                 ,60.0,1.0,מערכת סינון,רחוב איזיק מאיר דיק. המקלט נמצא מול בית מספר 10 צמוד למחסן חירום עירוני. ניתן להגיע למקלט גם דרך שדרות גורי ישראל 21 - 25.,לא,179241.54420194,661054.28640873,34.77796932,32.04162318,,,כשיר לשימוש,,,פתיחה אוטומטית בשעת חירום,,,,,,כן,592-113,13/03/2026 10:13:17,
10724,630,1.0,מקלט ציבורי,12.0,התבור,32, ,התבור 32 ,,100.0,0.0,ללא מערכת סינון,"המקלט נמצא בתוך מתחם מגרש הכדורגל הצמוד למרכז לאומנות עכשווית, משמאל לבית מספר 31 ומול בית מספר 32. יש להיכנס לתוך המגרש מהשער השמאלי ישר וימינה. ניתן להיכנס דרך מרכז האומנות ברחוב צדוק הכהן 2,לטפס במדרגות הבטון מימין למתקני הכושר דרך השער למגרש הכדורגל.",לא,178260.62480931,663830.17134971,34.76746517,32.0666202,,,כשיר לשימוש,,,פתיחה אוטומטית בשעת חירום,,,,,,כן,592-379,13/03/2026 10:13:17,
10725,25,4.0,חניון מחסה לציבור,803.0,ולנברג ראול,2,א,ולנברג ראול 2א,VALENBERG      ,5700.0,0.0,ללא מערכת סינון,כניסה מהרחוב הברזל 1, ,184535.36671768,668269.81165274,34.83375382,32.10686787,מקאן אריקסון,בית מקאן אריקסון,כשיר לשימוש,פתוח 24 שעות,פתוח 24 שעות,פתוח 24 שעות,\\nas01\gis_users\herum\gdb\תיקי חניון ממוחשבים\מקאן - אריקסון,03-7686393/03-7686450,03-7686450- אור חדד,,052-5552312,כן,592-114,13/03/2026 10:13:17,
10726,417,1.0,מקלט ציבורי,424.0,שדרות מסריק,6, ,שדרות מסריק 6 ,MASARYK             ,100.0,1.0,"מקלט מוגן אב""כ","המקלט נמצא במרכז כיכר מסריק בסמוך לגן המשחקים. הכניסה למקלט מול בניין מספר 6.המקלט יכול לשרת אזרחים הנמצאים ברחובות שדרות ח""ן 51, מאנה 2, נצח ישראל 1 וכן המגיעים מרחוב קינג ג'ורג' 107.",לא,179249.52521327,665105.4871603,34.77788429,32.07815642,,,כשיר לשימוש,,,פתיחה אוטומטית בשעת חירום,,,,,,כן,592-167,13/03/2026 10:13:17,
10727,13,4.0,חניון מחסה לציבור,4.0,אלנבי,105, ,אלנבי 105 ,AHAD HA'AM          ,2500.0,0.0,ללא מערכת סינון,לא ניתן לפתוח 24 שעות מטעמי אבטחה, ,178715.6344553,663489.92386665,34.77229818,32.06356845,"בית ביניים בע""מ",בית ביניים אלנבי 105,כשיר לשימוש,א-ה'  07:00-21:00 / ו 7:00-13:00,,,\\nas01\gis_users\herum\gdb\תיקי חניון ממוחשבים\בית ביניים,03-5644137,מוטי לוין,,054-5237444,כן,592-218,13/03/2026 10:13:17,
10728,921,1.0,מקלט ציבורי,3642.0,הכינור,3, ,הכינור 3 ,HAKINOR             ,120.0,0.0,ללא מערכת סינון,המקלט נמצא בשטח הגינה הציבורית מול בית מספר 2. למקלט 2 כניסות. ניתן להגיע אליו גם דרך השביל שמימין לבית ברחוב שדרות גורי ישראל 60. במקלט פועל בית כנסת.,לא,179476.9115361,661468.30899653,34.78044399,32.04536512,,,כשיר לשימוש,,,פתיחה אוטומטית בשעת חירום,,,,,,כן,592-127,13/03/2026 10:13:17,
10729,904,1.0,מקלט ציבורי,3650.0,רינגלבלום,1, ,רינגלבלום 1 ,RINGELBLUM          ,75.0,1.0,מערכת סינון,המקלט נמצא ברחבת הרכבים מול בית מספר 6. למקלט דלת נגררת הנפתחת בחירום ונדרש רק לדחוף אותה קדימה.,לא,179304.0632907,660855.29912623,34.77863953,32.03983097,,,כשיר לשימוש,,,פתיחה אוטומטית בשעת חירום,,,,,,כן,592-340,13/03/2026 10:13:17,
10730,8,4.0,חניון מחסה לציבור,496.0,אבן גבירול,2, ,אבן גבירול 2 ,IBN GVIROL                                        ,6300.0,0.0,ללא מערכת סינון,, ,179608.51872294,664337.12706944,34.78171843,32.07124025,חניוני עופר (אליהו הון ונגזרים),בית אליהו,כשיר לשימוש,ניתן להיכנס דרך השומר בבניין 24 שעות,ניתן להיכנס דרך השומר בבניין 24 שעות,24 שעות פתוח,\\nas01\gis_users\herum\gdb\תיקי חניון ממוחשבים\בית אליהו,03-6920972,נטע נציגת גן העיר- 054-7448240,simon@eliahu.com,054-7448240,כן,592-106,13/03/2026 10:13:17,
10731,503,1.0,מקלט ציבורי,21.0,העבודה,5, ,העבודה 5 ,HA'AVODA            ,180.0,0.0,ללא מערכת סינון,"למקלט 3 דרכי גישה: 1- דרך הלובי של בניין מספר 5 (קיים קוד כניסה באחריות ועד הבית לפתוח). 2- העבודה 5, בחניון הבניין המשותף קיימת כניסה נפרדת למקלט. 3 - רחוב סמטה פלונית 2, קיימת כניסה נפרדת. המקלט יכול להוות מיגון לאזרחים ברחוב המלך ג'ורג 13-21",לא,178695.9134273,664261.30396179,34.7720566,32.07052388,,,כשיר לשימוש,,,פתיחה אוטומטית בשעת חירום,,,,,,כן,592-226,13/03/2026 10:13:17,
10732,903,1.0,מקלט ציבורי,3506.0,בעל העקידה,29, ,בעל העקידה 29 ,BAAL HA'AKEDA       ,90.0,0.0,ללא מערכת סינון,"המקלט נמצא מול בניין מספר 29, בשולי גינת שפירא ומול אשכול גני הילדים.",לא,179261.00722957,662226.3930728,34.77812638,32.05219373,,,כשיר לשימוש,,,פתיחה אוטומטית בשעת חירום,,,,,,כן,592-409,13/03/2026 10:13:17,
10733,208,1.0,מקלט ציבורי,989.0,פטאי יוסף,21, ,פטאי יוסף 21 ,PATAI               ,125.0,1.0,"מקלט מוגן אב""כ","המקלט נמצא מול החנייה בכתובת הנ""ל. גישה רגלית נוספת מרחוב חיים לבנון 31 בשביל בין הבניינים.",לא,181332.25917017,668333.11374262,34.79981513,32.10733482,,,כשיר לשימוש,,,פתיחה אוטומטית בשעת חירום,,,,,,כן,592-176,13/03/2026 10:13:17,
10734,913,1.0,מקלט ציבורי,3645.0,אלכסנדר זייד,23, ,אלכסנדר זייד 23 ,ZEID                ,100.0,1.0,מערכת סינון,"המקלט נמצא מול בית מספר 23 בתוך תחום הגינה. המקלט משמש את בית הכנסת ""משכנות רועי"".",לא,179386.78840815,661487.86002429,34.77948899,32.04553824,,,כשיר לשימוש,,,פתיחה אוטומטית בשעת חירום,,,,,,כן,592-178,13/03/2026 10:13:17,
10735,106,1.0,מקלט ציבורי,903.0,"ק""ם",34, ,"ק""ם 34 ",KAM                 ,100.0,0.0,ללא מערכת סינון,"בין הבתים ק""ם 34 וק""ם 38 קיים שביל כניסה לגן סעדיה שושני, מול בית 36 בגינה נמצא המקלט - פתיחה אוטומטית בשעת חירום.",לא,184651.6748828,669408.20926895,34.83494472,32.11713731,,,כשיר לשימוש,,,פתיחה אוטומטית בשעת חירום,,,,,,כן,592-240,13/03/2026 10:13:17,
10736,829,2.0,מקלט ציבורי במוסדות חינוך,1034.0,גבעתי,4, ,גבעתי 4 ,GIV'ATI             ,80.0,0.0,ללא מערכת סינון,"המקלט נמצא בשטח ביה""ס ""הגליל"", כניסה מהשער הראשי ואז ימינה וישר עד למקלט.",כן,180908.09756798,662063.28484123,34.79557302,32.05078031,,בית ספר הגליל,כשיר לשימוש,,,פתיחה אוטומטית בשעת חירום,,,,,,כן,592-288,13/03/2026 10:13:17,
10737,133,2.0,מקלט ציבורי במוסדות חינוך,821.0,קהילת ורשה,30, ,קהילת ורשה 30 ,KEHILAT WARSHA      ,100.0,0.0,ללא מערכת סינון,"המקלט נמצא בתוך בית הספר ""דוד ילין"" בשטח החולי. כניסה מהשער הראשי וימינה.",כן,183147.89074785,668806.49641469,34.81903348,32.11166369,,בית ספר דוד ילין,כשיר לשימוש,,,פתיחה אוטומטית בשעת חירום,,,,,,כן,592-303,13/03/2026 10:13:17,
10738,315,2.0,מקלט ציבורי נגיש,580.0,אנטיגונוס,6, ,אנטיגונוס 6 ,ANTIGONOS           ,120.0,1.0,"מקלט מוגן אב""כ","המקלט נמצא בשטח בית הספר ""יהודה המכבי"" אך קיימת כניסה נפרדת מול בית מספר 11",כן,179843.36105635,666657.61336388,34.78410978,32.09217417,,בית ספר יהודה מכבי,כשיר לשימוש,,,פתיחה אוטומטית בשעת חירום,,,,,,כן,592-206,13/03/2026 10:13:17,
10739,102,1.0,מקלט ציבורי,844.0,קהילת ביאלסטוק,1, ,קהילת ביאלסטוק 1 ,KEHILAT BIALISTOK   ,100.0,1.0,"מקלט מוגן אב""כ",בגינה מול בית מספר 1 וכן מול בתים מספר 8 ו-10 ברחוב קהילת לבוב - פתיחה אוטומטית בשעת חירום.,לא,183220.6818512,668527.63001877,34.81981527,32.10915128,,,כשיר לשימוש,,,פתיחה אוטומטית בשעת חירום,,,,,,כן,592-227,13/03/2026 10:13:17,
10740,1030,1.0,מקלט ציבורי,3794.0,סמטת מזל גדי,3, ,סמטת מזל גדי 3 ,MAZAL DAGIM SIMTAT  ,75.0,1.0,מערכת סינון,"המקלט נמצא מול פינת הרחובות סמטת מזל גדי 3 וסמטת מזל דגים ובתוך חניון עם שער חשמלי. בקרבת המקלט - גן שער רעמסס שהינו חלק מגן הפיסגה, חניון הצורפים ותיאטרון הסימטה. ניתן להגיע גם מרחוב יפת 32,דרך רחוב הפנינים ולטפס דרך רחוב הצורפים עד למקלט.",לא,176785.56571515,662330.50922061,34.75191081,32.05304175,,,כשיר לשימוש,,,פתיחה אוטומטית בשעת חירום,,,,,,כן,592-269,13/03/2026 10:13:17,
10741,806,1.0,מקלט ציבורי,646.0,סר ג'ון מונש,28, ,סר ג'ון מונש 28 ,MONASH              ,300.0,0.0,ללא מערכת סינון,"שטח המקלט מתחת לבניין המשותף מונש 28,30,32. למקלט 2 כניסות עצמאיות משטח הבניין. מימין לבניין, בהמשך, נמצא בית השוטר.",לא,180678.23624164,662767.37284083,34.79311078,32.05712178,,,כשיר לשימוש,,,פתיחה אוטומטית בשעת חירום,,,,,,כן,592-185,13/03/2026 10:13:17,
10742,103,1.0,מקלט ציבורי,970.0,זכות משה,10, ,זכות משה 10 ,ZEHUT MOSHE,100.0,1.0,"מקלט מוגן אב""כ","1. כניסה מרחוב זכות משה,הגעה עד לחניון,המקלט בגינה. 2. מאחורי הדר יוסף 16 בגינה. 3. ניתן גם להגיע דרך קהילת לודג' 16 בכביש עד לגינה - פתיחה אוטומטית בשעת חירום.",לא,182926.47743351,668437.46189076,34.8167016,32.10832865,,,כשיר לשימוש,,,פתיחה אוטומטית בשעת חירום,,,,,,כן,592-293,13/03/2026 10:13:17,
10743,127,1.0,מקלט ציבורי,914.0,הגולן,134, ,הגולן 134 ,HAGOLAN             ,75.0,0.0,ללא מערכת סינון,"המקלט נמצא מאחורי בניין 134, בפארק ראול ולנברג. גישה למקלט דרך השבילים הנגישים הקיימים ברחוב הגולן. גישה רכובה דרך רחוב שביל 1357 שניתן להגיע אליו מרחוב קהילות זגלמביה לתוך הפארק. גישה רגלית נוספת דרך רחוב דבורה הנביאה מול 95 דרך הפארק.",לא,184977.18534493,669118.88285819,34.83840424,32.11453824,,,כשיר לשימוש,,,פתיחה אוטומטית בשעת חירום,,,,,,כן,592-349,13/03/2026 10:13:17,
10744,629,1.0,מקלט ציבורי,12.0,התבור,29, ,התבור 29 ,KALISCHER           ,100.0,1.0,"מקלט מוגן אב""כ",המקלט נמצא ברחוב קלישר 7 פינת רחוב התבור 29 מול בית 30.,לא,178255.6838023,663797.19730289,34.76741425,32.06632267,,,כשיר לשימוש,,,פתיחה אוטומטית בשעת חירום,,,,,,כן,592-159,13/03/2026 10:13:17,
10745,306,1.0,מקלט ציבורי,597.0,הכנסת הגדולה,3, ,הכנסת הגדולה 3 ,HAKNESET HAGDOLA                                  ,100.0,1.0,"מקלט מוגן אב""כ",המקלט נמצא בין בניינים 1 ו-3 בגינה. גישה נוספת מרחוב בבלי 42 ו-44.,לא,181110.57485544,667213.96215374,34.79751119,32.09723504,,,כשיר לשימוש,,,פתיחה אוטומטית בשעת חירום,,,,,,כן,592-200,13/03/2026 10:13:17,
10746,96,4.0,חניון מחסה לציבור,803.0,ולנברג ראול,20,,ולנברג ראול 20,,30190.0,,,,,184847.78416122,668565.35007233,34.83705314,32.10954262,קבוצת רכישה,CU,כשיר לשימוש,,,24 שעות,,058-5507000 / 03-5177747,,,,כן,592-129,13/03/2026 10:13:17,
10747,1026,2.0,מקלט ציבורי נגיש,3004.0,יפת,44, ,יפת 44 ,YEFET               ,50.0,0.0,ללא מערכת סינון,"המקלט נמצא בשטח ביה""ס ""מוזות"". הכניסה מהשער הראשי הנמצא מול בי""ס ""טרה סנטה"" ברחוב יפת 49. נכנסים בשער והולכים ישר עד למבנה המקלט.",כן,176768.4866909,661921.17263947,34.75174815,32.04934979,,,כשיר לשימוש,,,נפתח אוטומטית בשעת חירום,,,,,,כן,592-234,13/03/2026 10:13:17,
10748,832,1.0,מקלט ציבורי,637.0,שדרות יד לבנים,21, ,שדרות יד לבנים 21 ,YAD LABANIM         ,120.0,,,"המקלט נמצא בשדרה מול בתים מספר 21-23, מזרחית למעגל התנועה הסמוך.",לא,180828.04845433,663145.8033781,34.79468193,32.06053954,,,כשיר לשימוש,,,פתיחה אוטומטית בשעת חירום,,,,,,כן,592-313,13/03/2026 10:13:17,
10749,709,1.0,מקלט ציבורי,35.0,לוינסקי,95, ,לוינסקי 95 ,ELHANAN EIB LEVINSKY,100.0,0.0,ללא מערכת סינון,המקלט נמצא בגינת לוינסקי קרוב לכניסה הדרומית מרחוב לוינסקי מול בניין 95 - משטרת ישראל משמאל ומול אשכול גני הילדים החדש מימין. גישה נוספת משד' הר ציון 13 ומהגדוד העברי מול 35.,לא,179224.02417707,662793.22387753,34.77771106,32.05730399,,,כשיר לשימוש,,,פתיחה אוטומטית בשעת חירום,,,,,,כן,592-145,13/03/2026 10:13:17,
10750,830,2.0,מקלט ציבורי במוסדות חינוך,4080.0,לובטקין צביה,35, ,לובטקין צביה 35 ,LUBETKIN            ,80.0,0.0,ללא מערכת סינון,"המקלט נמצא בשטח ביה""ס ""בעל שם טוב"", כניסה מהשער הראשי ואז ימינה בצמוד לאולם ספורט.",כן,181914.21999639,661793.39545806,34.80623668,32.0483804,,"בית ספר בעש""ט",כשיר לשימוש,,,פתיחה אוטומטית בשעת חירום,,,,,,כן,592-282,13/03/2026 10:13:17,
10751,53,4.0,חניון מחסה לציבור,6.0,יהודה הלוי,23, ,יהודה הלוי 23 ,YEHUDA HALEVI       ,17730.0,0.0,ללא מערכת סינון,חניון למנויים בלבד השער סגור! קבל שילוט הכוונה (מהלובי מאפשרים לעבור לחדר מדרגות למרתף), ,178482.95512496,663236.40650673,34.76984498,32.06127385,בנק דיסקונט נכסי אריאל,מגדל דיסקונט,כשיר לשימוש,,,פתוח 24 שעות,\\nas01\gis_users\herum\gdb\תיקי חניון ממוחשבים\מגדל דיסקונט,03-5163885,בוריס,discountmng@arielgroup.co.il,052-9402703,כן,592-215,13/03/2026 10:13:17,
10752,531,1.0,מקלט ציבורי,730.0,השלום,101, ,השלום 101 ,HASHALM             ,120.0,1.0,"מקלט מוגן אב""כ","המקלט נמצא בגינה (""רחבת מרטון ארנסט"") מימין לבניין מספר 101. קיים שביל מדרך השלום פינת מרטון ארנסט המוביל למקלט. ניתן להגיע גם דרך רחוב עמישב 32",לא,181766.64978688,663249.66452555,34.80461708,32.06150789,,,כשיר לשימוש,,,פתיחה אוטומטית בשעת חירום,,,,,,כן,592-45,13/03/2026 10:13:17,
10753,30,4.0,חניון מחסה לציבור,796.0,נירים,1, ,נירים 1 ,NIRIM                                             ,8400.0,0.0,ללא מערכת סינון,, ,180366.46779902,663299.44859623,34.78978782,32.06190919,מיקדן,בית קנדה,כשיר לשימוש,,,"א'-ה' מ 07:30 עד 17:00 
טלפון של השומר: 052-9595807
",\\nas01\gis_users\herum\gdb\תיקי חניון ממוחשבים\בית קנדה,03-6881713,צביקה אברהם,,0522727479,כן,592-232,13/03/2026 10:13:17,
