Manufacturer,Model,Year,Fuel_Type,Original_Price_ILS,Current_Price_ILS,Mileage_km,Hand,Ownership_Type
Kia,Sportage,2021,Petrol,175000,146938,49942,2,Leasing
Hyundai,Tucson,2019,Petrol,175000,65117,91943,3,Leasing
Mazda,Mazda 3,2023,Petrol,150000,141629,17472,1,Private
Renault,Megane,2020,Diesel,140000,68368,71078,2,Company
Toyota,Corolla,2020,Hybrid,155000,94205,74260,1,Private
Skoda,Octavia,2018,Petrol,160000,136482,101799,2,Private
BYD,Atto 3,2021,Electric,165000,121563,52450,1,Private
Skoda,Octavia,2023,Petrol,160000,160000,9028,1,Private
Geely,Geometry C,2018,Electric,155000,73999,106404,3,Private
Kia,Sportage,2020,Petrol,175000,127935,68019,1,Company
Renault,Megane,2021,Diesel,140000,55873,56895,1,Leasing
Toyota,Corolla,2022,Hybrid,155000,101884,37741,2,Company
Renault,Megane,2018,Diesel,140000,61047,105584,1,Leasing
BYD,Atto 3,2019,Electric,165000,73854,90733,2,Private
BYD,Atto 3,2019,Electric,165000,71775,90966,1,Private
Geely,Geometry C,2024,Electric,155000,148971,1000,1,Private
Hyundai,Tucson,2020,Petrol,175000,108476,71507,2,Private
Mazda,Mazda 3,2021,Petrol,150000,91384,54094,3,Leasing
Hyundai,Tucson,2022,Petrol,175000,132467,36291,2,Private
Kia,Sportage,2020,Petrol,175000,141237,68276,1,Private
Tesla,Model 3,2022,Electric,200000,166812,33149,1,Leasing
Tesla,Model 3,2023,Electric,200000,147087,21092,1,Private
Mazda,Mazda 3,2018,Petrol,150000,45778,113002,2,Private
Geely,Geometry C,2024,Electric,155000,151840,1000,1,Private
Geely,Geometry C,2023,Electric,155000,92307,23162,1,Private
Mazda,Mazda 3,2021,Petrol,150000,56518,59633,1,Leasing
BYD,Atto 3,2020,Electric,165000,85669,72247,3,Private
Toyota,Corolla,2018,Hybrid,155000,87297,107193,2,Leasing
BYD,Atto 3,2021,Electric,165000,147183,49309,1,Private
Renault,Megane,2020,Diesel,140000,55902,72709,3,Company
Skoda,Octavia,2020,Petrol,160000,142659,66509,2,Private
Tesla,Model 3,2023,Electric,200000,164256,16190,2,Company
Tesla,Model 3,2020,Electric,200000,91992,73197,1,Company
BYD,Atto 3,2018,Electric,165000,26242,112519,1,Company
Tesla,Model 3,2022,Electric,200000,20000,49164,1,Leasing
Kia,Sportage,2020,Petrol,175000,175000,62971,2,Leasing
Toyota,Corolla,2022,Hybrid,155000,155000,29692,3,Private
Renault,Megane,2022,Diesel,140000,130614,31674,3,Private
BYD,Atto 3,2020,Electric,165000,63693,75551,2,Private
Kia,Sportage,2022,Petrol,175000,92141,40275,3,Private
Toyota,Corolla,2022,Hybrid,155000,155000,28377,3,Company
Skoda,Octavia,2022,Petrol,160000,98767,37204,2,Leasing
Toyota,Corolla,2021,Hybrid,155000,138158,51382,2,Private
BYD,Atto 3,2023,Electric,165000,144993,17813,1,Private
Toyota,Corolla,2023,Hybrid,155000,146938,15021,1,Company
Toyota,Corolla,2020,Hybrid,155000,44129,78872,1,Company
Kia,Sportage,2024,Petrol,175000,132605,2073,1,Company
Geely,Geometry C,2021,Electric,155000,45489,61459,1,Private
Renault,Megane,2020,Diesel,140000,112795,66488,1,Private
Mazda,Mazda 3,2019,Petrol,150000,125809,85750,2,Private
Skoda,Octavia,2019,Petrol,160000,111020,87950,2,Private
Geely,Geometry C,2023,Electric,155000,144086,14264,1,Company
Toyota,Corolla,2024,Hybrid,155000,103866,6046,1,Private
Renault,Megane,2022,Diesel,140000,140000,28802,1,Leasing
Hyundai,Tucson,2024,Petrol,175000,165020,1000,1,Private
Skoda,Octavia,2020,Petrol,160000,137494,67590,3,Private
Hyundai,Tucson,2022,Petrol,175000,134539,36150,2,Private
Skoda,Octavia,2021,Petrol,160000,89264,57043,2,Private
Hyundai,Tucson,2024,Petrol,175000,163140,1000,1,Private
Skoda,Octavia,2022,Petrol,160000,151328,32212,3,Private
Geely,Geometry C,2023,Electric,155000,135285,18299,1,Private
Toyota,Corolla,2024,Hybrid,155000,143673,1386,1,Private
BYD,Atto 3,2023,Electric,165000,129230,19048,2,Private
Tesla,Model 3,2024,Electric,200000,190306,1000,1,Private
Mazda,Mazda 3,2019,Petrol,150000,135240,84384,2,Private
Geely,Geometry C,2021,Electric,155000,110054,52378,1,Private
Hyundai,Tucson,2023,Petrol,175000,164852,16360,2,Private
Geely,Geometry C,2022,Electric,155000,89802,36775,3,Leasing
Geely,Geometry C,2020,Electric,155000,67961,73038,2,Leasing
Toyota,Corolla,2023,Hybrid,155000,82711,23299,2,Company
Toyota,Corolla,2019,Hybrid,155000,83946,90391,3,Leasing
Mazda,Mazda 3,2022,Petrol,150000,126819,33225,1,Leasing
Renault,Megane,2021,Diesel,140000,70308,55911,1,Private
Kia,Sportage,2020,Petrol,175000,143350,67980,1,Private
Mazda,Mazda 3,2021,Petrol,150000,115979,53634,2,Private
Geely,Geometry C,2021,Electric,155000,42377,59558,3,Leasing
BYD,Atto 3,2024,Electric,165000,139475,1000,1,Leasing
Skoda,Octavia,2018,Petrol,160000,20000,115085,1,Leasing
Geely,Geometry C,2024,Electric,155000,117614,1860,1,Company
Renault,Megane,2023,Diesel,140000,132635,15062,2,Private
Kia,Sportage,2022,Petrol,175000,175000,27280,1,Private
Skoda,Octavia,2019,Petrol,160000,79238,90595,2,Leasing
Kia,Sportage,2018,Petrol,175000,125031,103704,2,Private
Geely,Geometry C,2021,Electric,155000,54475,59976,2,Private
BYD,Atto 3,2024,Electric,165000,140657,3576,1,Private
Skoda,Octavia,2022,Petrol,160000,84769,39590,2,Leasing
Hyundai,Tucson,2022,Petrol,175000,93989,40904,2,Private
Tesla,Model 3,2021,Electric,200000,161419,50288,1,Company
Geely,Geometry C,2020,Electric,155000,73241,73856,1,Private
Kia,Sportage,2022,Petrol,175000,72121,41766,1,Company
Mazda,Mazda 3,2021,Petrol,150000,110120,54104,3,Private
Toyota,Corolla,2020,Hybrid,155000,97014,73153,2,Private
Geely,Geometry C,2019,Electric,155000,113269,84314,1,Leasing
Toyota,Corolla,2018,Hybrid,155000,113423,103302,3,Company
Geely,Geometry C,2024,Electric,155000,152322,1000,1,Private
BYD,Atto 3,2021,Electric,165000,120818,52084,1,Private
Hyundai,Tucson,2023,Petrol,175000,175000,9961,1,Company
Skoda,Octavia,2023,Petrol,160000,116080,18923,2,Leasing
Kia,Sportage,2023,Petrol,175000,162630,17711,1,Private
Hyundai,Tucson,2020,Petrol,175000,58340,77616,3,Private
BYD,Atto 3,2020,Electric,165000,165000,59047,3,Company
Tesla,Model 3,2018,Electric,200000,90280,107755,2,Private
Skoda,Octavia,2019,Petrol,160000,75754,92129,3,Private
BYD,Atto 3,2024,Electric,165000,156226,1000,1,Private
Toyota,Corolla,2020,Hybrid,155000,98048,73530,1,Private
Tesla,Model 3,2019,Electric,200000,51955,95273,2,Private
Skoda,Octavia,2022,Petrol,160000,156773,33213,1,Private
Skoda,Octavia,2024,Petrol,160000,138040,1000,1,Company
Geely,Geometry C,2022,Electric,155000,28819,47283,1,Private
Mazda,Mazda 3,2020,Petrol,150000,114924,70462,2,Private
BYD,Atto 3,2022,Electric,165000,165000,26149,1,Private
BYD,Atto 3,2021,Electric,165000,65988,58462,3,Private
Geely,Geometry C,2022,Electric,155000,135432,33964,1,Private
Renault,Megane,2020,Diesel,140000,50079,75431,1,Private
Kia,Sportage,2022,Petrol,175000,81696,39896,3,Leasing
BYD,Atto 3,2024,Electric,165000,156719,1000,1,Private
BYD,Atto 3,2022,Electric,165000,165000,29738,3,Private
Geely,Geometry C,2020,Electric,155000,62312,73818,2,Company
Kia,Sportage,2024,Petrol,175000,158313,2183,1,Private
Renault,Megane,2019,Diesel,140000,45353,92021,3,Private
Tesla,Model 3,2021,Electric,200000,159185,51479,2,Private
Geely,Geometry C,2021,Electric,155000,105030,53592,2,Private
Renault,Megane,2024,Diesel,140000,102582,4974,1,Private
Skoda,Octavia,2020,Petrol,160000,106559,71187,3,Private
Mazda,Mazda 3,2019,Petrol,150000,131004,84688,1,Private
Geely,Geometry C,2023,Electric,155000,155000,12008,2,Company
Mazda,Mazda 3,2023,Petrol,150000,81205,25298,1,Private
Hyundai,Tucson,2024,Petrol,175000,163175,1000,1,Private
Skoda,Octavia,2018,Petrol,160000,53503,110376,3,Leasing
Skoda,Octavia,2018,Petrol,160000,78566,107268,1,Leasing
Toyota,Corolla,2018,Hybrid,155000,125287,101971,3,Leasing
Toyota,Corolla,2024,Hybrid,155000,149947,1000,1,Private
Geely,Geometry C,2018,Electric,155000,74603,106158,1,Leasing
Mazda,Mazda 3,2018,Petrol,150000,99661,105701,1,Private
BYD,Atto 3,2019,Electric,165000,61502,91280,1,Company
BYD,Atto 3,2020,Electric,165000,96883,70383,1,Leasing
Toyota,Corolla,2020,Hybrid,155000,155000,63108,2,Private
Kia,Sportage,2020,Petrol,175000,123873,68725,3,Leasing
BYD,Atto 3,2021,Electric,165000,73105,57467,3,Private
Renault,Megane,2024,Diesel,140000,136541,1000,1,Private
Kia,Sportage,2020,Petrol,175000,101976,72348,2,Private
Toyota,Corolla,2023,Hybrid,155000,155000,14801,1,Private
Tesla,Model 3,2023,Electric,200000,200000,14357,2,Private
Tesla,Model 3,2020,Electric,200000,179729,65609,2,Private
Toyota,Corolla,2022,Hybrid,155000,98142,39504,3,Private
Skoda,Octavia,2022,Petrol,160000,98767,40275,1,Private
Geely,Geometry C,2018,Electric,155000,69449,107863,2,Private
Tesla,Model 3,2021,Electric,200000,143292,52663,2,Private
BYD,Atto 3,2018,Electric,165000,63192,108481,3,Private
Geely,Geometry C,2020,Electric,155000,144771,64780,2,Private
Skoda,Octavia,2019,Petrol,160000,108144,86391,1,Company
Geely,Geometry C,2023,Electric,155000,126541,18884,2,Private
Hyundai,Tucson,2023,Petrol,175000,93807,24872,2,Private
Toyota,Corolla,2023,Hybrid,155000,103470,22776,1,Private
Hyundai,Tucson,2022,Petrol,175000,22827,46776,3,Leasing
Renault,Megane,2023,Diesel,140000,138523,13112,2,Leasing
Toyota,Corolla,2018,Hybrid,155000,72472,111106,1,Private
BYD,Atto 3,2018,Electric,165000,79771,107185,1,Private
Skoda,Octavia,2023,Petrol,160000,160000,13678,1,Private
BYD,Atto 3,2022,Electric,165000,106373,35295,3,Leasing
Renault,Megane,2021,Diesel,140000,20000,61841,2,Leasing
Mazda,Mazda 3,2018,Petrol,150000,27083,114451,1,Leasing
Toyota,Corolla,2018,Hybrid,155000,91146,106768,2,Leasing
Hyundai,Tucson,2023,Petrol,175000,125875,21488,2,Private
Kia,Sportage,2021,Petrol,175000,117713,54379,2,Private
Mazda,Mazda 3,2020,Petrol,150000,74537,75713,2,Private
Toyota,Corolla,2018,Hybrid,155000,66362,110988,3,Private
Skoda,Octavia,2022,Petrol,160000,156558,33070,1,Private
Hyundai,Tucson,2022,Petrol,175000,120849,37650,2,Private
Tesla,Model 3,2024,Electric,200000,159324,4471,1,Private
Skoda,Octavia,2020,Petrol,160000,149053,65542,2,Private
Skoda,Octavia,2021,Petrol,160000,96511,56135,3,Private
Skoda,Octavia,2019,Petrol,160000,62757,93686,1,Private
Tesla,Model 3,2019,Electric,200000,99122,89206,3,Leasing
Kia,Sportage,2020,Petrol,175000,110877,71479,2,Private
BYD,Atto 3,2018,Electric,165000,40693,111898,1,Private
Tesla,Model 3,2021,Electric,200000,192138,47069,2,Company
Tesla,Model 3,2022,Electric,200000,84598,43245,1,Private
Mazda,Mazda 3,2023,Petrol,150000,67732,25237,1,Leasing
Kia,Sportage,2023,Petrol,175000,148645,18530,1,Private
Tesla,Model 3,2024,Electric,200000,166960,2777,1,Private
Toyota,Corolla,2024,Hybrid,155000,149826,1000,1,Private
Skoda,Octavia,2021,Petrol,160000,160000,47771,1,Private
Kia,Sportage,2023,Petrol,175000,145494,18274,2,Private
BYD,Atto 3,2019,Electric,165000,20000,102133,2,Private
Kia,Sportage,2023,Petrol,175000,118804,20164,1,Leasing
Geely,Geometry C,2024,Electric,155000,133275,2681,1,Private
Toyota,Corolla,2022,Hybrid,155000,114797,37832,2,Private
Toyota,Corolla,2019,Hybrid,155000,100834,89788,1,Private
Toyota,Corolla,2024,Hybrid,155000,81856,9657,1,Private
Kia,Sportage,2024,Petrol,175000,132306,2686,1,Leasing
Kia,Sportage,2024,Petrol,175000,93501,6671,1,Leasing
Geely,Geometry C,2023,Electric,155000,127687,19403,1,Private
Geely,Geometry C,2020,Electric,155000,20000,80793,3,Private
Kia,Sportage,2020,Petrol,175000,137084,67999,2,Private
Hyundai,Tucson,2023,Petrol,175000,155936,17682,2,Private
BYD,Atto 3,2024,Electric,165000,155188,1000,1,Private
Skoda,Octavia,2024,Petrol,160000,157381,1000,1,Private
Kia,Sportage,2020,Petrol,175000,84765,72755,3,Leasing
BYD,Atto 3,2020,Electric,165000,107910,70583,2,Private
Hyundai,Tucson,2023,Petrol,175000,157468,16052,1,Leasing
Geely,Geometry C,2021,Electric,155000,62693,59259,1,Private
Mazda,Mazda 3,2019,Petrol,150000,63207,93343,3,Private
Skoda,Octavia,2022,Petrol,160000,151250,31409,2,Company
Kia,Sportage,2022,Petrol,175000,106472,39920,1,Private
Skoda,Octavia,2020,Petrol,160000,90448,73552,1,Private
Toyota,Corolla,2019,Hybrid,155000,140254,85461,2,Private
Toyota,Corolla,2023,Hybrid,155000,81763,25596,2,Private
Kia,Sportage,2023,Petrol,175000,147911,18799,2,Private
BYD,Atto 3,2024,Electric,165000,158781,1000,1,Private
BYD,Atto 3,2024,Electric,165000,131465,3696,1,Private
Tesla,Model 3,2024,Electric,200000,158110,4081,1,Private
Kia,Sportage,2024,Petrol,175000,163896,1000,1,Private
Renault,Megane,2023,Diesel,140000,118866,18334,1,Private
Mazda,Mazda 3,2022,Petrol,150000,93296,37675,3,Leasing
Skoda,Octavia,2020,Petrol,160000,77360,73580,3,Company
Kia,Sportage,2022,Petrol,175000,32616,48247,1,Private
Tesla,Model 3,2020,Electric,200000,173718,66118,2,Private
Tesla,Model 3,2020,Electric,200000,89627,73197,3,Leasing
Kia,Sportage,2020,Petrol,175000,75972,74420,1,Leasing
Geely,Geometry C,2021,Electric,155000,29615,62843,3,Private
Mazda,Mazda 3,2020,Petrol,150000,120393,69539,2,Private
Tesla,Model 3,2020,Electric,200000,120241,70494,2,Leasing
Geely,Geometry C,2023,Electric,155000,155000,3355,1,Company
Mazda,Mazda 3,2023,Petrol,150000,111447,20791,1,Private
Geely,Geometry C,2018,Electric,155000,70100,107198,2,Private
Mazda,Mazda 3,2021,Petrol,150000,150000,47319,2,Private
Hyundai,Tucson,2021,Petrol,175000,124205,52054,2,Leasing
Renault,Megane,2023,Diesel,140000,95230,20948,2,Private
Hyundai,Tucson,2022,Petrol,175000,131223,37334,1,Private
Renault,Megane,2021,Diesel,140000,98887,51670,1,Private
BYD,Atto 3,2021,Electric,165000,98737,53245,3,Leasing
Mazda,Mazda 3,2022,Petrol,150000,71999,42064,3,Private
Tesla,Model 3,2019,Electric,200000,135677,87482,1,Private
Renault,Megane,2024,Diesel,140000,119146,1000,1,Company
Kia,Sportage,2023,Petrol,175000,144684,17017,1,Leasing
Hyundai,Tucson,2020,Petrol,175000,175000,63350,2,Private
BYD,Atto 3,2020,Electric,165000,96182,70845,1,Leasing
Renault,Megane,2021,Diesel,140000,52450,58372,2,Private
Renault,Megane,2021,Diesel,140000,105762,50751,2,Private
BYD,Atto 3,2022,Electric,165000,87850,40255,2,Private
Renault,Megane,2023,Diesel,140000,62945,25502,2,Private
Mazda,Mazda 3,2018,Petrol,150000,59337,109565,2,Leasing
Renault,Megane,2019,Diesel,140000,62665,89811,1,Private
Hyundai,Tucson,2020,Petrol,175000,85571,72869,1,Company
Tesla,Model 3,2019,Electric,200000,144754,84804,1,Leasing
Skoda,Octavia,2020,Petrol,160000,137083,67992,2,Private
Geely,Geometry C,2023,Electric,155000,123644,19654,2,Private
Tesla,Model 3,2023,Electric,200000,55723,27520,2,Leasing
Mazda,Mazda 3,2018,Petrol,150000,23517,116129,1,Private
Skoda,Octavia,2021,Petrol,160000,105353,55162,3,Private
Skoda,Octavia,2022,Petrol,160000,120933,34901,2,Company
Geely,Geometry C,2023,Electric,155000,70548,24089,1,Leasing
Tesla,Model 3,2023,Electric,200000,193709,15434,2,Private
Tesla,Model 3,2019,Electric,200000,20000,102647,1,Private
Toyota,Corolla,2021,Hybrid,155000,94689,57122,1,Private
Toyota,Corolla,2024,Hybrid,155000,152533,1000,1,Private
Mazda,Mazda 3,2023,Petrol,150000,150000,13360,2,Private
Mazda,Mazda 3,2022,Petrol,150000,59250,43955,3,Private
Toyota,Corolla,2023,Hybrid,155000,132136,16971,1,Company
Hyundai,Tucson,2022,Petrol,175000,81772,41654,3,Private
Geely,Geometry C,2021,Electric,155000,56939,57751,2,Leasing
BYD,Atto 3,2023,Electric,165000,165000,7579,2,Company
Hyundai,Tucson,2018,Petrol,175000,20000,116623,3,Private
Geely,Geometry C,2018,Electric,155000,32365,112405,2,Private
Toyota,Corolla,2018,Hybrid,155000,31977,115780,2,Private
Mazda,Mazda 3,2023,Petrol,150000,150000,10827,1,Leasing
Geely,Geometry C,2018,Electric,155000,103746,102713,3,Private
Tesla,Model 3,2020,Electric,200000,56286,78042,2,Private
Hyundai,Tucson,2023,Petrol,175000,81293,26514,1,Private
Skoda,Octavia,2019,Petrol,160000,106365,88740,1,Private
Geely,Geometry C,2021,Electric,155000,74552,57245,3,Private
Kia,Sportage,2023,Petrol,175000,166814,17457,1,Private
Toyota,Corolla,2024,Hybrid,155000,133168,1000,1,Company
Hyundai,Tucson,2021,Petrol,175000,140435,51607,3,Private
Renault,Megane,2024,Diesel,140000,115704,1000,1,Company
Hyundai,Tucson,2020,Petrol,175000,103819,71065,2,Company
Renault,Megane,2019,Diesel,140000,112024,81847,3,Company
Toyota,Corolla,2024,Hybrid,155000,114058,5534,1,Private
Mazda,Mazda 3,2024,Petrol,150000,145435,1000,1,Private
BYD,Atto 3,2024,Electric,165000,159630,1000,1,Private
Kia,Sportage,2019,Petrol,175000,114759,88391,1,Private
Skoda,Octavia,2022,Petrol,160000,122081,37146,2,Private
BYD,Atto 3,2024,Electric,165000,91822,8563,1,Private
Geely,Geometry C,2019,Electric,155000,39109,94556,3,Private
Tesla,Model 3,2021,Electric,200000,127139,54528,3,Private
Kia,Sportage,2019,Petrol,175000,66185,93323,3,Private
Tesla,Model 3,2024,Electric,200000,183800,1000,1,Private
Skoda,Octavia,2022,Petrol,160000,94873,37612,2,Leasing
Mazda,Mazda 3,2019,Petrol,150000,100313,88884,1,Private
Skoda,Octavia,2021,Petrol,160000,111090,53670,3,Private
Geely,Geometry C,2021,Electric,155000,82756,56253,1,Private
Toyota,Corolla,2018,Hybrid,155000,66375,110079,2,Leasing
Skoda,Octavia,2020,Petrol,160000,120901,68010,1,Leasing
Toyota,Corolla,2018,Hybrid,155000,137803,102078,2,Private
Skoda,Octavia,2020,Petrol,160000,92249,72986,2,Private
Skoda,Octavia,2022,Petrol,160000,155060,32038,1,Private
Tesla,Model 3,2023,Electric,200000,200000,6818,2,Private
Tesla,Model 3,2019,Electric,200000,148876,84263,2,Company
Mazda,Mazda 3,2021,Petrol,150000,122868,52437,3,Private
Kia,Sportage,2018,Petrol,175000,140700,101880,3,Private
Renault,Megane,2022,Diesel,140000,75987,39378,1,Private
Toyota,Corolla,2020,Hybrid,155000,147591,66653,2,Private
BYD,Atto 3,2020,Electric,165000,162626,63065,2,Private
Hyundai,Tucson,2024,Petrol,175000,142488,1000,1,Company
Mazda,Mazda 3,2022,Petrol,150000,135044,32842,2,Leasing
Kia,Sportage,2024,Petrol,175000,117367,6852,1,Private
Hyundai,Tucson,2019,Petrol,175000,23267,97147,1,Leasing
Hyundai,Tucson,2020,Petrol,175000,96984,73511,2,Private
BYD,Atto 3,2022,Electric,165000,88369,39764,3,Private
Renault,Megane,2019,Diesel,140000,124407,80244,2,Private
Kia,Sportage,2019,Petrol,175000,77004,90717,3,Leasing
BYD,Atto 3,2018,Electric,165000,96709,103680,2,Leasing
Toyota,Corolla,2021,Hybrid,155000,53207,60397,2,Leasing
Kia,Sportage,2018,Petrol,175000,20000,116247,1,Private
Geely,Geometry C,2024,Electric,155000,117029,5353,1,Private
Tesla,Model 3,2024,Electric,200000,129447,4261,1,Leasing
Renault,Megane,2024,Diesel,140000,119899,1000,1,Leasing
Geely,Geometry C,2023,Electric,155000,155000,13797,1,Private
Hyundai,Tucson,2019,Petrol,175000,106384,88876,3,Private
Skoda,Octavia,2022,Petrol,160000,159874,30607,2,Leasing
Hyundai,Tucson,2023,Petrol,175000,175000,13525,1,Private
Hyundai,Tucson,2020,Petrol,175000,89890,72363,2,Leasing
BYD,Atto 3,2024,Electric,165000,151256,1000,1,Private
Renault,Megane,2024,Diesel,140000,128671,1000,1,Private
Toyota,Corolla,2024,Hybrid,155000,144023,1000,1,Private
Tesla,Model 3,2022,Electric,200000,144384,36708,1,Private
Mazda,Mazda 3,2022,Petrol,150000,141219,33480,1,Private
BYD,Atto 3,2024,Electric,165000,160580,1000,1,Private
Mazda,Mazda 3,2021,Petrol,150000,106912,54547,1,Private
BYD,Atto 3,2019,Electric,165000,20000,98490,1,Leasing
Kia,Sportage,2024,Petrol,175000,142304,1000,1,Leasing
Skoda,Octavia,2022,Petrol,160000,160000,29530,3,Private
Kia,Sportage,2023,Petrol,175000,175000,11829,2,Leasing
BYD,Atto 3,2018,Electric,165000,113020,103229,1,Private
Tesla,Model 3,2023,Electric,200000,173511,18551,2,Private
Geely,Geometry C,2019,Electric,155000,107865,84830,2,Leasing
Geely,Geometry C,2022,Electric,155000,121373,36062,1,Private
Hyundai,Tucson,2020,Petrol,175000,175000,64324,1,Private
Mazda,Mazda 3,2022,Petrol,150000,150000,26599,3,Private
Mazda,Mazda 3,2022,Petrol,150000,143708,31238,2,Leasing
BYD,Atto 3,2021,Electric,165000,137301,50615,3,Private
Kia,Sportage,2021,Petrol,175000,173333,48968,1,Private
Toyota,Corolla,2022,Hybrid,155000,141644,34280,1,Private
Skoda,Octavia,2022,Petrol,160000,84744,41364,3,Private
Geely,Geometry C,2019,Electric,155000,62130,91627,1,Private
Geely,Geometry C,2019,Electric,155000,78421,89689,2,Private
Renault,Megane,2023,Diesel,140000,77849,24144,1,Private
Hyundai,Tucson,2022,Petrol,175000,120419,37927,1,Private
Tesla,Model 3,2019,Electric,200000,27464,96408,2,Leasing
Skoda,Octavia,2023,Petrol,160000,160000,13011,2,Leasing
Renault,Megane,2018,Diesel,140000,20000,113183,1,Leasing
Skoda,Octavia,2020,Petrol,160000,53740,76210,3,Company
Kia,Sportage,2023,Petrol,175000,175000,13953,1,Private
Toyota,Corolla,2022,Hybrid,155000,111215,37011,1,Leasing
Hyundai,Tucson,2022,Petrol,175000,134081,34793,1,Leasing
Toyota,Corolla,2022,Hybrid,155000,155000,31418,3,Private
Renault,Megane,2022,Diesel,140000,38724,42777,3,Leasing
Skoda,Octavia,2024,Petrol,160000,150646,1000,1,Private
Geely,Geometry C,2024,Electric,155000,117534,4382,1,Private
Mazda,Mazda 3,2024,Petrol,150000,137550,1000,1,Private
BYD,Atto 3,2023,Electric,165000,111240,19639,1,Leasing
Toyota,Corolla,2018,Hybrid,155000,49002,113735,1,Private
Kia,Sportage,2022,Petrol,175000,135386,35825,3,Private
BYD,Atto 3,2018,Electric,165000,74165,106380,3,Leasing
Geely,Geometry C,2023,Electric,155000,81378,24649,2,Private
Skoda,Octavia,2020,Petrol,160000,112726,70519,2,Private
Mazda,Mazda 3,2020,Petrol,150000,108165,70799,1,Private
Kia,Sportage,2024,Petrol,175000,160239,1000,1,Private
Skoda,Octavia,2019,Petrol,160000,72461,92206,3,Private
BYD,Atto 3,2023,Electric,165000,165000,13171,1,Leasing
Skoda,Octavia,2024,Petrol,160000,144539,2134,1,Private
BYD,Atto 3,2018,Electric,165000,20000,113053,3,Company
Tesla,Model 3,2018,Electric,200000,45001,111745,1,Leasing
Geely,Geometry C,2021,Electric,155000,137303,49176,1,Private
Skoda,Octavia,2018,Petrol,160000,20000,116142,3,Leasing
Geely,Geometry C,2019,Electric,155000,80496,89293,1,Private
Toyota,Corolla,2020,Hybrid,155000,56435,78701,2,Private
Renault,Megane,2018,Diesel,140000,113092,99030,3,Private
Skoda,Octavia,2024,Petrol,160000,154802,1000,1,Private
Toyota,Corolla,2019,Hybrid,155000,123107,87400,1,Private
Skoda,Octavia,2020,Petrol,160000,123584,69539,1,Private
Hyundai,Tucson,2021,Petrol,175000,151892,49798,2,Private
Hyundai,Tucson,2018,Petrol,175000,56669,111382,1,Private
Kia,Sportage,2021,Petrol,175000,149815,49918,3,Private
Kia,Sportage,2024,Petrol,175000,143757,1000,1,Leasing
Tesla,Model 3,2018,Electric,200000,184217,98043,3,Private
Skoda,Octavia,2020,Petrol,160000,94891,73302,2,Private
Hyundai,Tucson,2019,Petrol,175000,92651,90977,1,Private
Skoda,Octavia,2023,Petrol,160000,143982,17505,2,Private
Tesla,Model 3,2019,Electric,200000,57130,93410,1,Leasing
Skoda,Octavia,2023,Petrol,160000,143116,18630,1,Private
Mazda,Mazda 3,2022,Petrol,150000,139055,32625,3,Private
Skoda,Octavia,2019,Petrol,160000,106479,87984,3,Private
Skoda,Octavia,2022,Petrol,160000,133421,34676,3,Private
Renault,Megane,2023,Diesel,140000,140000,11184,2,Leasing
Geely,Geometry C,2024,Electric,155000,129073,1000,1,Company
Kia,Sportage,2024,Petrol,175000,94808,8733,1,Private
Skoda,Octavia,2022,Petrol,160000,69319,43001,3,Private
Mazda,Mazda 3,2022,Petrol,150000,95978,38771,3,Private
Kia,Sportage,2023,Petrol,175000,109640,23151,1,Private
Mazda,Mazda 3,2019,Petrol,150000,98791,88331,3,Private
Renault,Megane,2024,Diesel,140000,130419,1001,1,Private
Tesla,Model 3,2018,Electric,200000,85518,108041,3,Private
Geely,Geometry C,2023,Electric,155000,53716,28518,1,Private
Renault,Megane,2018,Diesel,140000,26589,110981,1,Company
Geely,Geometry C,2021,Electric,155000,72950,55595,2,Company
Hyundai,Tucson,2020,Petrol,175000,100806,72655,3,Private
Geely,Geometry C,2021,Electric,155000,119919,52242,1,Private
Renault,Megane,2023,Diesel,140000,97204,18292,2,Company
Tesla,Model 3,2018,Electric,200000,84439,108690,2,Private
Hyundai,Tucson,2024,Petrol,175000,140285,1000,1,Company
Hyundai,Tucson,2024,Petrol,175000,100225,5903,1,Company
Skoda,Octavia,2022,Petrol,160000,157662,32863,1,Private
Skoda,Octavia,2024,Petrol,160000,131441,1000,1,Leasing
BYD,Atto 3,2022,Electric,165000,89691,40128,2,Private
Hyundai,Tucson,2024,Petrol,175000,119212,6397,1,Private
Skoda,Octavia,2023,Petrol,160000,160000,6915,2,Private
Renault,Megane,2021,Diesel,140000,58354,56542,2,Company
Toyota,Corolla,2023,Hybrid,155000,80888,26152,1,Private
Mazda,Mazda 3,2023,Petrol,150000,142851,17110,1,Private
Mazda,Mazda 3,2020,Petrol,150000,80496,74599,1,Private
Renault,Megane,2020,Diesel,140000,28433,78023,3,Private
Geely,Geometry C,2024,Electric,155000,147405,1000,1,Private
Toyota,Corolla,2024,Hybrid,155000,134219,2946,1,Private
Hyundai,Tucson,2018,Petrol,175000,96639,106693,2,Private
Geely,Geometry C,2022,Electric,155000,84726,39202,3,Private
Kia,Sportage,2019,Petrol,175000,89572,90615,1,Private
Kia,Sportage,2023,Petrol,175000,175000,11280,1,Leasing
Geely,Geometry C,2019,Electric,155000,34826,94253,1,Leasing
Skoda,Octavia,2020,Petrol,160000,134743,67863,1,Private
Mazda,Mazda 3,2019,Petrol,150000,136665,84145,2,Private
